Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,Year,Preformance Index,School Type,White,Asian,Black,Hispanic,AYP Met?
2,Lake Erie Academy,143503,Lake Erie Academy,143503,"2740 W Central Ave Toledo, OH   43606-3452",2010,84.8,K-8,,,,,Met
4,North Dayton School Of Science & Discovery,143529,North Dayton School Of Science & Discovery,143529,"3901 Turner Rd Dayton, OH   45415-3654",2010,70.0,K-8,,,,,Not Met
3,Virtual Community School Of Ohio,143537,Virtual Community School Of Ohio,143537,"4480 Refugee Rd Columbus, OH   43232-4459",2010,80.8,K-12,,,,,Not Met
2,Toledo Preparatory Academy,143545,Toledo Preparatory Academy,143545,"540 Independence Rd Toledo, OH   43607-2650",2010,74.0,8-12,,,,,Met
0,Eagle Academy,143552,Eagle Academy,143552,"2014 Consaul St Toledo, OH   43605-1412",2010,72.60000000000001,K-8,,,,,Not Met
3,Richard Allen Academy II,143560,Richard Allen Academy II,143560,"400 E 2nd St Dayton, OH   45402-1724",2010,86.0,K-8,,,,,Met
8,Richard Allen Academy III,143578,Richard Allen Academy III,143578,"299 Knightsbridge Dr Hamilton, OH   45011-3166",2010,87.0,K-7,,,,,Met
4,Hamilton Cnty Math & Science,143602,Hamilton Cnty Math & Science,143602,"2675 Civic Center Dr Cincinnati, OH   45231-1311",2010,87.0,K-8,,,,,Met
4,Arts & College Preparatory Academy,143610,Arts & College Preparatory Academy,143610,"2202 S Hamilton Rd Columbus, OH   43232-4304",2010,101.7,9-12,,,,,Met
0,Sciotoville,143644,Sciotoville,143644,"224 Marshall St Portsmouth, OH   45662-5549",2010,84.4,5-12,,,,,Met
0,Streetsboro City,049239,Henry Defer Intermediate Elementary School,144881,"1895 Annalane Dr Streetsboro, OH   44241-1728",2010,97.1,4-6,,,,,Met
2,Pickerington Local,046896,Pickerington Lakeview Junior High,145078,"12445 Ault Rd Pickerington, OH   43147-9172",2010,99.5,7-8,,,,,Met
2,Pickerington Local,046896,Pickerington High School North,145086,"7800 Refugee Rd Pickerington, OH   43147-9428",2010,105.9,9-12,,,,,Not Met
0,Bethel-Tate Local,046318,Hill Intermediate Elementary School,145292,"150 Fossyl Dr Bethel, OH   45106-1393",2010,98.5,3-5,,,,,Met
0,Maysville Local,048850,Maysville Elementary School,145352,"3850 Panther Dr Zanesville, OH   43701-7069",2010,93.4,K-5,,,,,Met
0,Alliance City,043497,Alliance Middle School,145391,"3205 S Union Ave Alliance, OH   44601-5365",2010,91.0,6-8,,,,,Met
0,Alliance City,043497,Northside Elementary School,145409,"701 Johnson Ave Alliance, OH   44601-1599",2010,91.6,1-5,,,,,Not Met
0,Alliance City,043497,Rockhill Elementary School,145417,"2400 S Rockhill Ave Alliance, OH   44601-5420",2010,91.3,1-5,,,,,Met
6,Jackson Local,049858,Strausser Elementary School,145433,"8646 Strausser St NW Massillon, OH   44646-9304",2010,107.0,K-5,,,,,Met
0,Canal Winchester Local,046946,Winchester Trail Elementary School,145466,"6865 Gender Rd Canal Winchester, OH   43110-8282",2010,97.4,3-5,,,,,Not Met
2,Granville Exempted Village,045393,Granville Intermediate School,145532,"2025 Burg St Granville, OH   43023-9775",2010,105.4,4-6,,,,,Met
0,Cincinnati City,043752,Western Hills University High School,145557,"2144 Ferguson Rd Cincinnati, OH   45238-3720",2010,90.4,9-12,,,,,Met
0,Cincinnati City,043752,Western Hills Engineering High School,145565,"2144 Ferguson Rd Cincinnati, OH   45238-3720",2010,79.0,9-12,,,,,Not Met
5,Cincinnati City,043752,Withrow International High School,145573,"2488 Madison Rd Cincinnati, OH   45208-1216",2010,75.9,9-12,,,,,Not Met
