Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,Year,Preformance Index,School Type,White,Asian,Black,Hispanic,AYP Met?
,Norton City,044552,Norton Cornerstone Elementary School,028001,"4138 Cleveland Massillon Rd Norton, OH   44203-5633",2012,102.5,K-4,,,,,Met
,Norton City,044552,Norton Middle/Intermediate School,028027,"3390 Cleveland Massillon Rd Norton, OH   44203-8303",2012,103.4,5-8,,,,,Met
,Norton City,044552,Norton Primary Elementary School,028035,"3163 Greenwich Rd Norton, OH   44203-5744",2012,101.0,K-4,,,,,Met
,Norwalk City,044560,Norwalk Middle School,028050,"64 Christie Ave Norwalk, OH   44857-2304",2012,97.8,7-8,,,,,Met
,Norwalk City,044560,Norwalk High School,028068,"350 Shady Lane Dr Norwalk, OH   44857-2701",2012,100.7,9-12,,,,,
,Norwayne Local,050567,Norwayne High School,028076,"350 S Main St Creston, OH   44217-9665",2012,105.5,9-12,,,,,
,Norwood City,044578,Norwood High School,028100,"2020 Sherman Ave Norwood, OH   45212-2616",2012,101.0,9-12,,,,,
,Norwood City,044578,Norwood View Elementary School,028118,"5328 Carthage Ave Norwood, OH   45212-1529",2012,99.4,K-6,,,,,Met
,Northwest Local,049908,Northwest Middle School,028134,"8614 Erie Ave N Canal Fulton, OH   44614-8852",2012,102.2,6-8,,,,,Met
,New Boston Local,044461,Oak Intermediate Elementary School,028159,"824 Harrisonville Ave New Boston, OH   45662-5110",2012,85.7,3-6,,,,,Met
,Benton Carroll Salem Local,048926,Oak Harbor High School,028183,"11661 W State Route 163 Oak Harbor, OH   43449-1278",2012,101.3,9-12,,,,,
,Oak Hills Local,047373,Oak Hills High School,028217,"3200 Ebenezer Rd Cincinnati, OH   45248-4038",2012,101.2,9-12,,,,,
,Toledo City,044909,Oakdale Elementary School,028258,"1620 E Broadway St Toledo, OH   43605-3817",2012,84.5,K-8,,,,,Met
,Columbus City School District,043802,Oakland Park Alternative Elementary,028290,"3392 Atwood Ter Columbus, OH   43224-3381",2012,86.0,"K-5,P",,,,,Met
,Columbus City School District,043802,Oakmont  Elementary School,028316,"5666 Oakmont Dr Columbus, OH   43232-3043",2012,75.8,K-5,,,,,Met
,Kettering City,044180,Oakview Elementary School,028324,"4001 Ackerman Blvd Kettering, OH   45429-4609",2012,101.5,K-5,,,,,Met
,Elyria City Schools,043943,Oakwood Elementary School,028340,"925 Spruce St Elyria, OH   44035-3246",2012,83.5,1-5,,,,,Met
,Plain Local,049932,GlenOak High School,028365,"1801 Schneider St NW Canton, OH   44721-3349",2012,101.9,9-12,,,,,
,Oakwood City,044586,Oakwood High School,028373,"1200 Far Hills Ave Dayton, OH   45419-3118",2012,112.10000000000001,9-12,,,,,
,Oberlin City Schools,044594,Langston Middle School,028381,"150 N Pleasant St Oberlin, OH   44074-1177",2012,96.8,6-8,,,,,Met
,Oberlin City Schools,044594,Oberlin High School,028399,"281 N Pleasant St Oberlin, OH   44074-1174",2012,100.7,9-12,,,,,
,Hamilton Local,046953,Hamilton Middle School,028407,"755 Rathmell Rd Columbus, OH   43207-4737",2012,95.60000000000001,7-8,,,,,Met
,Dublin City,047027,Olde Sawmill Elementary School,028415,"2485 Olde Sawmill Blvd Dublin, OH   43016-9095",2012,106.10000000000001,K-5,,,,,Met
,Columbus City School District,043802,Ohio Avenue Elementary School,028423,"505 S Ohio Ave Columbus, OH   43205-2720",2012,64.6,"K-5,P",,,,,Met
,Austintown Local,048298,Frank Ohl Intermediate School,028480,"255 Idaho Rd Youngstown, OH   44515-3703",2012,95.5,4-5,,,,,Met
,Old Fort Local,049726,Old Fort Elementary School,028498,"PO Box 64 Old Fort, OH   44861-0064",2012,98.5,K-6,,,,,Met
,Old Fort Local,049726,Old Fort High School,028506,"PO Box 64 Old Fort, OH   44861-0064",2012,105.10000000000001,7-12,,,,,
,Toledo City,044909,Old Orchard Elementary School,028514,"2402 Cheltenham Rd Toledo, OH   43606-3201",2012,81.9,K-8,,,,,Met
,East Guernsey Local,069682,Buckeye Trail Middle School,028522,"65553 Wintergreen Rd Lore City, OH   43755-9715",2012,95.7,6-8,,,,,Met
,Columbus City School District,043802,Olde Orchard Alt Elementary School @ Old Shady Lane ES,028530,"1488 Shady Lane Rd Columbus, OH   43227-2110",2012,83.10000000000001,K-5,,,,,Met
,Olentangy Local,046763,Olentangy High School,028548,"675 Lewis Center Rd Lewis Center, OH   43035-9049",2012,110.2,9-12,,,,,
,Tecumseh Local,046243,Tecumseh  Middle School,028555,"10000 W National Rd New Carlisle, OH   45344-8285",2012,96.9,6-8,,,,,Met
,Cleveland Municipal,043786,Oliver H Perry Elementary School,028589,"18400 Schenely Ave Cleveland, OH   44119-2053",2012,84.3,"P,K-8",,,,,Met
,Olmsted Falls City,046573,Olmsted Falls High School,028605,"26939 Bagley Rd Olmsted Falls, OH   44138-1161",2012,107.0,9-12,,,,,
,Olmsted Falls City,046573,Olmsted Falls Middle School,028613,"27045 Bagley Rd Olmsted Falls, OH   44138-1103",2012,106.60000000000001,6-8,,,,,Met
,Shaker Heights City,044750,Onaway Elementary School,028647,"3115 Woodbury Rd Shaker Heights, OH   44120-2442",2012,104.60000000000001,K-4,,,,,Met
,Sandusky City,044743,Ontario Elementary School,028662,"924 Ontario St Sandusky, OH   44870-4049",2012,87.0,K-6,,,,,Met
,Ontario Local,049478,Ontario High School,028670,"467 Shelby Ontario Rd Mansfield, OH   44906-1029",2012,103.5,9-12,,,,,
,Ontario Local,049478,Ontario Middle School,028688,"447 Shelby Ontario Rd Mansfield, OH   44906-1029",2012,99.0,6-8,,,,,Met
,Orange City,046581,Orange High School,028712,"32000 Chagrin Blvd Pepper Pike, OH   44124-5922",2012,109.10000000000001,9-12,,,,,
,Cleveland Municipal,043786,Orchard School,028720,"7901 Halle Ave Cleveland, OH   44102-5043",2012,80.7,"P,K-8",,,,,Met
,North Canton City,044503,Orchard Hill Elementary School,028738,"1305 Jonathan Ave SW North Canton, OH   44720-4115",2012,104.0,1-5,,,,,Met
,Leetonia Exempted Village,045443,Leetonia Middle School,028746,"450 Walnut St Leetonia, OH   44431-1075",2012,98.60000000000001,5-8,,,,,Met
,Kettering City,044180,Orchard Park Elementary School,028753,"600 E Dorothy Ln Kettering, OH   45419-1923",2012,100.0,K-5,,,,,Met
,Johnstown-Monroe Local,047985,Oregon Elementary School,028761,"125 N Oregon St Johnstown, OH   43031-1067",2012,103.5,1-3,,,,,Met
,Orrville City,044610,Orrville High School,028779,"841 N Ella St Orrville, OH   44667-1154",2012,101.7,9-12,,,,,
,Dayton City,043844,Wright Brothers PreK-8 School,028795,"1361 Huffman Ave Dayton, OH   45403-3016",2012,81.60000000000001,"P,K-8",,,,,Met
,Ashland City,043505,Osborn Elementary School,028811,"544 E Main St Ashland, OH   44805-2548",2012,97.8,K-6,,,,,Met
,Sandusky City,044743,Osborne Elementary School,028829,"920 W Osborne St Sandusky, OH   44870-3228",2012,88.5,K-6,,,,,Met
,Buckeye Valley Local,046755,Buckeye Valley West Elementary School,028845,"PO Box 68 Ostrander, OH   43061-0068",2012,102.7,K-5,,,,,Met
,Fremont City,044016,Otis Elementary School,028852,"718 N Brush St Fremont, OH   43420-1404",2012,89.5,K-5,,,,,Met
,Otsego Local,050724,Otsego High School,028860,"PO Box 290 Tontogany, OH   43565-0290",2012,101.60000000000001,9-12,,,,,
,Ottawa-Glandorf Local,049379,Ottawa Elementary School,028878,"123 Putnam Pkwy Ottawa, OH   45875-8657",2012,95.2,K-8,,,,,Met
,Ottawa Hills Local,048215,Ottawa Hills Elementary School,028886,"3602 Indian Rd Toledo, OH   43606-2425",2012,110.5,K-6,,,,,Met
,Ottawa Hills Local,048215,Ottawa Hills High School,028894,"2532 Evergreen Rd Toledo, OH   43606-2301",2012,111.0,7-12,,,,,
,Toledo City,044909,Ottawa River Elementary School,028902,"4747 290th St Toledo, OH   43611-1961",2012,91.10000000000001,K-8,,,,,Met
,Ottawa-Glandorf Local,049379,Ottawa-Glandorf High School,028910,"630 Glendale Ave Ottawa, OH   45875-1162",2012,106.60000000000001,"P,9-12",,,,,
,Ottoville Local,049387,Ottoville Elementary School,028928,"PO Box 248 Ottoville, OH   45876-0248",2012,108.3,K-6,,,,,Met
,Ottoville Local,049387,Ottoville High School,028936,"PO Box 248 Ottoville, OH   45876-0248",2012,105.4,7-12,,,,,
,Wadsworth City,044974,Overlook Elementary School,028969,"650 Broad St Wadsworth, OH   44281-2318",2012,107.0,K-4,,,,,Met
,Clermont Northeastern Local,046326,Clermont Northeastern Elementary School,028985,"5347 Hutchinson Rd Batavia, OH   45103-9511",2012,99.8,"K-5,P",,,,,Met
,Cleveland Heights-University Heights City,043794,Oxford Elementary School,028993,"939 Quilliams Rd Cleveland Heights, OH   44121-1946",2012,72.9,K-5,,,,,Met
,Cincinnati City,043752,Oyler School,029009,"1700 Grand Ave Cincinnati, OH   45214-1502",2012,87.9,"K-12,P",,,,,
,Paint Valley Local,049510,Paint Valley High School,029025,"7454 Us Highway 50 W Bainbridge, OH   45612-9708",2012,97.0,9-12,,,,,
,Fairborn City,043968,Fairborn Intermediate School,029041,"25 Dellwood Dr Fairborn, OH   45324-4220",2012,94.9,3-6,,,,,Met
,Pandora-Gilboa Local,049395,Pandora-Gilboa Elementary School,029066,"410 Rocket Rdg Pandora, OH   45877-9607",2012,104.7,K-4,,,,,Met
,Pandora-Gilboa Local,049395,Pandora-Gilboa High School,029074,"410 Rocket Ridge Pandora, OH   45877-0389",2012,109.60000000000001,9-12,,,,,
,Chardon Local,047183,Park Elementary School,029090,"111 Goodrich Ct Chardon, OH   44024-1215",2012,104.5,K-5,,,,,Met
,Swanton Local,047092,Park Elementary School,029108,"100 Elton Pkwy Swanton, OH   43558-1230",2012,98.8,3-5,,,,,Met
,Claymont City,043778,Park Elementary School,029124,"200 Jewett Ave Dennison, OH   44621-1614",2012,104.2,K-4,,,,,Met
,Tecumseh Local,046243,Park Layne Elementary School,029140,"12355 Dille Rd New Carlisle, OH   45344-9718",2012,93.10000000000001,2-3,,,,,Met
,Western Local,049155,Western Elementary School,029157,"PO Box 129 Latham, OH   45646-0129",2012,80.60000000000001,K-6,,,,,Met
,Columbus City School District,043802,Parkmoor Elementary School,029181,"1711 Penworth Dr Columbus, OH   43229-5214",2012,74.9,"K-5,P",,,,,Met
,Westlake City,045062,Parkside Elementary School,029207,"24525 Hilliard Blvd Westlake, OH   44145-3518",2012,107.0,5-6,,,,,Met
,Fairview Park City,043976,Gilles-Sweet Elementary School,029223,"4320 W 220 Street Fairview Park, OH   44126-1818",2012,100.0,K-6,,,,,Met
,Wooster City,045120,Parkview Elementary School,029249,"773 Parkview Dr Wooster, OH   44691-2729",2012,103.3,K-6,,,,,Met
,Alliance City,043497,Parkway Elementary School,029256,"1490 Parkway Blvd Alliance, OH   44601-3806",2012,90.10000000000001,1-5,,,,,Met
,Parkway Local,048579,Parkway Middle School,029272,"400 Buckeye St Rockford, OH   45882-9267",2012,99.60000000000001,5-8,,,,,Met
,Parkway Local,048579,Parkway High School,029280,"400 Buckeye St Rockford, OH   45882-9267",2012,103.2,9-12,,,,,
,Sidney City,044784,Northwood Elementary School,029306,"1152 Saint Marys Rd Sidney, OH   45365-8901",2012,91.7,K-5,,,,,Met
,Beavercreek City,047241,Parkwood Elementary School,029322,"1791 Wilene Dr Beavercreek, OH   45432-4016",2012,97.5,"K-5,P",,,,,Met
,Parma City,044636,Parma High School,029330,"6285 W 54th St Parma, OH   44129-5259",2012,98.60000000000001,9-12,,,,,
,Parma City,044636,Parma Park Elementary School,029348,"6800 Commonwealth Blvd Parma Heights, OH   44130-4211",2012,100.9,K-6,,,,,Met
,Columbus City School District,043802,Parsons Elementary School,029355,"3231 Lee Ellen Pl Columbus, OH   43207-3728",2012,81.4,"K-5,P",,,,,Met
,Southwest Licking Local,048041,Pataskala Elementary School,029363,"395 S High St Pataskala, OH   43062-8244",2012,101.7,K-5,,,,,Met
,Cleveland Municipal,043786,Patrick Henry School,029371,"11901 Durant Ave Cleveland, OH   44108-2621",2012,62.9,"P,K-8",,,,,Met
