Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Northmont City,048728,Phillipsburg Elementary School,029827,"PO Box 10 Phillipsburg, OH   45354-0010",K-6,-84.4008508,39.904691
,Franklin Local,048843,Philo High School,029843,"4000 Millers Ln Duncan Falls, OH   43734-9750",9-12,-81.91008190000001,39.8837781
,Logan Elm Local,049080,Pickaway Elementary School,029850,"28158 Kingston Pike Circleville, OH   43113-9741",K-6,-82.9323953,39.5198616
,Pickerington Local,046896,Pickerington Elementary School,029868,"775 Long Rd Pickerington, OH   43147-1061",K-4,-82.7760046,39.8889066
,Pickerington Local,046896,Pickerington High School Central,029876,"300 Opportunity Way Pickerington, OH   43147-1296",9-12,-82.7554468,39.8764329
,Toledo City,044909,Pickett Elementary School,029892,"1144 Blum St Toledo, OH   43607-4133",K-5,-83.5709016,41.6466511
,Hamilton City,044107,Pierce Elementary School,029900,"2890 Freeman Ave Hamilton, OH   45015-1440",K-6,-84.55973279999999,39.3686951
,Buckeye Local,045856,Pierpont Elementary School,029926,"PO Box 134 Pierpont, OH   44082-0134",K-6,-80.56840679999999,41.7492217
,Scioto Valley Local,049130,Zahns Middle School,029983,"2379 Schuster Rd Piketon, OH   45661-9753",4-6,-82.96312929999999,39.0559084
,Scioto Valley Local,049130,Piketon Jr/Sr High School,029991,"1414 Piketon Rd Piketon, OH   45661-9801",7-12,-83.0227943,39.0644732
,North Olmsted City,044529,Pine  School,030023,"4267 Dover Center Rd North Olmsted, OH   44070-2508","P,4-6",-81.9199414,41.4279178
,Perrysburg Exempted Village,045583,Frank Elementary School,030031,"401 W South Boundary St Perrysburg, OH   43551-1741",K-5,-83.62807029999999,41.5436494
,North Central Local,050641,North Central Elementary School,030064,"400 E Baubice St Pioneer, OH   43554-9637",K-6,-84.5478543,41.6792258
,Piqua City,044644,Piqua High School,030098,"1 Indian Trl Piqua, OH   45356-9257",9-12,-84.2064707,40.1640751
,Southeastern Local,046276,Miami View Elementary School,030106,"230 Clifton Rd South Charleston, OH   45368-9602",K-4,-83.6410465,39.82747210000001
,Jonathan Alder Local,048264,Plain City Elementary School,030130,"340 W Main St Plain City, OH   43064-1198",K-4,-83.27071219999999,40.1090002
,New Albany-Plain Local,046995,New Albany Elementary School 4-5,030148,"87 N High St New Albany, OH   43054-8532",4-5,-82.81061849999999,40.085194
,New Albany-Plain Local,046995,New Albany High School,030155,"7600 Fodor Rd New Albany, OH   43054-8738",9-12,-82.8155185,40.0844043
,Pleasant Local,048421,Pleasant Elementary School,030205,"1105 Owens Rd W Marion, OH   43302-8421",K-5,-83.136771,40.519711
,Pleasant Local,048421,Pleasant Middle School,030213,"3507 Smeltzer Rd Marion, OH   43302-8213",6-8,-83.13674,40.519749
,Norwalk City,044560,Pleasant Elementary School,030221,"16 S Pleasant St Norwalk, OH   44857-2015",K-4,-82.62209089999999,41.2377634
,Louisville City,049874,Pleasant Grove Elementary School,030247,"9955 Louisville St Louisville, OH   44641-9604",K-5,-81.214271,40.8359809
,Milford Exempted Village,045500,Charles L Seipelt Elementary School,030270,"5684 Cromley Dr Milford, OH   45150-2406",K-6,-84.22146459999999,39.1784192
,Cincinnati City,043752,Pleasant Hill Elementary School,030288,"1350 W North Bend Rd Cincinnati, OH   45224-2606","P,K-8",-84.5403546,39.2031916
,Edison Local,047795,Pleasant Hill Elementary School,030296,"129 School St Steubenville, OH   43952-7063","K-4,P",-80.65704699999999,40.4205143
,Pleasant Local,048421,Pleasant High School,030304,"1101 Owens Rd W Marion, OH   43302-8421",9-12,-83.13639189999999,40.5199034
,Cincinnati City,043752,Pleasant Ridge Montessori School,030312,"5945 Montgomery Rd Cincinnati, OH   45213-1609","P,K-8",-84.4324929,39.181115
,Northwest Local,047365,Pleasant Run Elementary School,030320,"11765 Hamilton Ave Cincinnati, OH   45231-1128",3-5,-84.5651678,39.2968388
